ticker,six_month_return_pct
SNDK,811.3936154287624
WDC,222.07328316395993
MU,181.29875986819695
ALB,148.78014575560348
TER,142.0978660964849
WBD,138.3430429182021
STX,110.96296522012783
LRCX,109.78687481653876
INTC,109.30902405142145
FIX,94.47324630901576
NEM,88.8150983492965
GOOGL,85.19501844732697
GOOG,84.21318206486936
CHRW,77.16904716003614
APP,73.3015003861644
GLW,70.91719166870156
CMI,67.81459679623865
IVZ,65.94773052406416
HII,62.46403410495118
EXPE,58.98100800185133
CAT,58.50937198992141
KLAC,55.840561352164706
AMAT,53.65107191867964
GM,53.071050438202064
AMD,52.636069442930044
HAL,52.09315209691112
INCY,51.35752084591863
IQV,51.11471201454507
CNC,50.554836772287956
VTRS,47.47495245623652
APH,46.988249070661794
ROST,46.96354330030239
FSLR,46.7235155552562
TMO,46.378381004440094
BG,42.85232810481261
EXPD,41.43538702574978
JNJ,41.35868653889783
APA,40.26906220429305
TSLA,38.608396484690786
DD,38.34426257247063
ULTA,38.12724876027711
EA,37.52733115502542
CRL,36.88307455150755
MPWR,36.51461885196545
JBHT,36.03908717800726
FDX,35.29349172344072
MRK,35.13176186880269
TEL,35.000045631520685
LLY,34.813536736191274
RTX,34.142505682608196
