ticker,six_month_return_pct
SNDK,896.1945822663068
WDC,231.16408442302213
MU,220.61080788429726
TER,146.27921688218026
STX,123.63474118128099
WBD,122.58566654258006
LRCX,122.01415311249124
ALB,117.08392298378656
INTC,105.96491515728181
FIX,103.71835994623093
NEM,98.020881640125
GOOGL,80.03661189312123
CHRW,79.97916201684241
GOOG,79.12883750813455
GLW,75.10491490019204
IVZ,73.56928275641043
AMAT,70.6784017388533
HII,68.35185909867117
KLAC,67.95452787499924
CMI,67.85040298966098
EXPE,57.14262165979898
CNC,57.000689630254506
APP,56.34724604820516
CAT,55.74547174643985
INCY,54.0614959721579
HAL,53.31704517539637
GM,52.58555231936546
APH,51.924346709812056
BG,49.745231576300355
ROST,48.156607695114715
TMO,45.82828309201865
IQV,45.59264482436829
MPWR,45.289418269253055
AMD,44.52340660710021
EXPD,43.316177953210214
VTRS,41.93028403661412
FSLR,40.44600965592811
APA,40.25362431255344
CRL,40.204212652798475
DD,39.025055709670475
IDXX,37.913278096427085
GS,37.70037502527048
DG,37.57931982543994
TSLA,36.971289247037205
SLB,36.93706936746308
LLY,36.86265351665945
EA,36.599403750773774
FDX,36.50858021204271
TEL,36.12525381016896
JNJ,36.00656623259084
